ID,ISP,VLAN ID,Service ID,Inbound Current,Inbound Average,Inbound Max,Outbound Current,Outbound Average,Outbound Max,Period From,Period To
fsr-bsikcpwiyungsbylx,PT _ Mega Akses Persada,,,606.61 k,493.83 k,0.00,3.40 M,1.79 M,6.79 M,2026-01.02.12:09:05,2026-01.03.12.09:05
fsr-bsikedungrorolx,PT _ Mega Akses Persada,,,204.75 k,270.27 k,971.75 k,1.09 M,981.37 k,6.09 M,2026-01.02.12:09@0,2026-01.03.12.09:@0
