ID,Inbound Average,Inbound Max,Outbound Average,Outbound Max,Period From,Period To
fsr-bsikcpwiyungsbylx,0.49 Mbps,0 Mbps,1.79 Mbps,6.79 Mbps,2026-01.02.12:09:05,2026-01.03.12.09:05
fsr-bsikedungrorolx,0.27 Mbps,0.97 Mbps,0.98 Mbps,6.09 Mbps,2026-01.02.12:09@0,2026-01.03.12.09:@0
