ID,Inbound Average,Inbound Max,Outbound Average,Outbound Max,Period From,Period To
fsr-bsikcpwiyungsbylx,494 Kbps,0 Kbps,1790 Kbps,6790 Kbps,2026-01.02.12:09:05,2026-01.03.12.09:05
fsr-bsikedungrorolx,270 Kbps,972 Kbps,981 Kbps,6090 Kbps,2026-01.02.12:09@0,2026-01.03.12.09:@0
