ID,Inbound Average,Inbound Max,Outbound Average,Outbound Max,Period From,Period To
fsr-bsiayanlx,0.69 Mbps,2.24 Mbps,1.06 Mbps,7.90 Mbps,2025-12-01 00: 0000,2026-01.01 000000
fsr-bsibatamctlx,1.05 Mbps,3.38 Mbps,4.34 Mbps,9.69 Mbps,2025-12-01 00: 0000,2026-01.01 00: 00: 00
fsr-bsibatamindolx,0.65 Mbps,3.33 Mbps,2.91 Mbps,6.60 Mbps,2025-12-01 00: 0000,2026-@1 - 01 @0000Q
